SECTION_INSTRUCTOR_TIME_TREATMENT_STUDENT,STEM_Major,Age,Ethnicity,prior_20,prior_grade,BIOL1010,prior_10,sexual,edu_lvl
A.1.A.T.6,1,20,H,0,0,1,0,0,3
A.1.A.T.7,0,19,H,0,0,1,0,0,2
A.1.A.T.8,0,22,H,0,0,1,0,0,4
A.1.A.T.9,0,21,C,1,0,0,1,1,4
A.1.A.T.11,0,23,H,0,0,0,1,1,4
A.1.A.T.12,1,22,C,0,0,0,1,0,4
A.1.A.T.13,0,20,H,0,0,1,0,1,3
A.1.A.T.15,1,20,C,0,0,0,1,0,2
A.1.A.T.16,1,19,H,0,0,0,1,0,2
A.1.A.T.17,0,20,C,0,0,1,0,0,2
A.1.A.T.18,1,19,H,0,0,1,0,0,2
A.1.A.T.19,1,20,H,1,0,0,1,0,2
A.1.A.T.20,1,19,H,0,0,1,0,0,2
A.1.A.T.21,1,19,H,0,0,0,1,0,2
A.1.A.T.22,1,20,H,0,0,1,0,1,2
B.2.P.T.1,0,22,H,0,0,1,0,1,4
B.2.P.T.2,1,22,A,0,0,1,0,0,3
B.2.P.T.3,1,21,C,1,1,0,1,0,4
B.2.P.T.4,0,21,H,0,0,0,1,0,3
B.2.P.T.5,0,20,C,0,0,0,1,0,3
B.2.P.T.8,1,21,H,0,0,0,1,0,3
B.2.P.T.10,0,50,AA,0,0,0,0,1,4
B.2.P.T.11,0,19,H,0,0,1,0,0,2
B.2.P.T.12,2,20,H,0,0,0,1,0,2
B.2.P.T.13,0,20,H,0,0,1,1,0,2
B.2.P.T.14,1,20,H,0,0,1,0,0,2
B.2.P.T.15,1,20,H,0,0,0,1,0,2
B.2.P.T.18,1,19,A,0,0,0,1,0,2
B.2.P.T.19,1,20,A,0,0,0,1,0,2
B.2.P.T.20,1,19,A,1,1,1,1,0,2
B.2.P.T.21,1,19,ME,0,0,1,0,0,2
G.5.N.T.1,0,20,H,0,0,1,0,0,2
G.5.N.T.2,1,20,AA,1,0,0,1,0,2
G.5.N.T.3,0,44,C,0,0,0,1,0,4
G.5.N.T.4,0,18,H,1,0,0,0,0,1
G.5.N.T.5,1,20,H,0,0,0,1,0,1
G.5.N.T.6,1,19,NA,0,0,1,0,1,1
G.5.N.T.7,0,20,H,0,0,0,1,0,2
G.5.N.T.8,1,18,H,0,0,1,0,0,1
G.5.N.T.9,2,18,C,0,0,1,0,0,1
G.5.N.T.10,0,20,C,0,0,0,1,0,2
G.5.N.T.11,0,22,H,1,1,1,1,0,4
G.5.N.T.12,1,19,ME,0,0,1,0,0,2
G.5.N.T.13,0,20,C,0,0,0,1,0,2
G.5.N.T.14,0,18,H,0,0,1,0,1,1
G.5.N.T.15,1,19,A,0,0,1,0,0,2
G.5.N.T.16,1,18,H,0,0,1,0,0,1
G.5.N.T.17,0,30,H,3,1,0,1,0,4
G.5.N.T.18,1,19,A,1,0,1,0,1,1
G.5.N.T.19,1,19,C,0,0,0,0,1,1
G.5.N.T.20,2,18,H,0,0,1,0,0,1
E.6.P.T.1,0,19,H,0,0,0,1,0,2
E.6.P.T.2,1,19,C,1,0,1,0,0,2
E.6.P.T.4,0,19,AA,0,0,1,1,1,2
E.6.P.T.5,0,21,C,1,1,1,1,0,3
E.6.P.T.6,0,21,C,0,0,1,0,0,3
E.6.P.T.7,0,19,H,1,0,1,0,0,2
E.6.P.T.8,1,20,H,1,0,1,0,0,2
E.6.P.T.9,1,19,H,0,0,1,0,0,1
E.6.P.T.10,2,19,H,0,0,1,0,1,2
E.6.P.T.11,0,19,C,0,0,0,1,0,2
E.6.P.T.12,1,19,C,0,0,0,1,1,2
E.6.P.T.14,0,23,H,0,0,0,0,0,4
E.6.P.T.15,0,19,H,0,0,1,0,0,2
E.6.P.T.16,0,20,C,0,0,1,0,1,2
E.6.P.T.17,1,19,A,0,0,1,0,1,1
E.6.P.T.18,1,21,A,0,0,0,1,0,3
E.6.P.T.20,1,20,A,0,0,1,0,1,2
E.6.P.T.21,2,20,H,0,0,1,0,0,2
E.6.P.T.22,2,18,H,0,0,1,0,1,2
